match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
9,1,DD,PW,16,6,1,DD
9,1,DD,PW,17,12,0,DD
9,1,DD,PW,18,19,0,DD
9,1,DD,PW,19,22,1,DD
9,1,DD,PW,20,23,0,DD
9,2,PW,DD,1,10,0,DD
9,2,PW,DD,2,7,0,DD
9,2,PW,DD,3,7,1,DD
9,2,PW,DD,4,7,0,DD
9,2,PW,DD,5,7,1,DD
9,2,PW,DD,6,12,1,DD
9,2,PW,DD,7,2,1,DD
9,2,PW,DD,8,3,1,DD
9,2,PW,DD,9,3,0,DD
9,2,PW,DD,10,10,0,DD
9,2,PW,DD,11,8,0,DD
9,2,PW,DD,12,3,1,DD
9,2,PW,DD,13,15,0,DD
9,2,PW,DD,14,6,1,DD
9,2,PW,DD,15,6,1,DD
9,2,PW,DD,16,2,1,DD
9,2,PW,DD,17,0,1,DD
9,2,,,18,0,0,DD
9,2,,,19,0,0,DD
9,2,,,20,0,0,DD
10,1,SRH,MI,1,2,0,MI
10,1,SRH,MI,2,3,0,MI
10,1,SRH,MI,3,8,0,MI
10,1,SRH,MI,4,4,0,MI
10,1,SRH,MI,5,9,0,MI
10,1,SRH,MI,6,8,0,MI
10,1,SRH,MI,7,15,0,MI
10,1,SRH,MI,8,3,0,MI
10,1,SRH,MI,9,10,0,MI
10,1,SRH,MI,10,13,0,MI
10,1,SRH,MI,11,9,1,MI
10,1,SRH,MI,12,9,0,MI
10,1,SRH,MI,13,12,0,MI
10,1,SRH,MI,14,5,1,MI
10,1,SRH,MI,15,8,1,MI
10,1,SRH,MI,16,8,1,MI
10,1,SRH,MI,17,14,0,MI
10,1,SRH,MI,18,7,1,MI
10,1,SRH,MI,19,6,1,MI
10,1,SRH,MI,20,5,2,MI
10,2,MI,SRH,1,6,0,MI
10,2,MI,SRH,2,15,0,MI
10,2,MI,SRH,3,7,0,MI
10,2,MI,SRH,4,11,1,MI
10,2,MI,SRH,5,3,1,MI
10,2,MI,SRH,6,19,0,MI
